Class;scope;name
PHPParser_Node_Name_FullyQualified;Field;array;subNodes
PHPParser_Node_Name_FullyQualified;Field;NULL;attributes
PHPParser_Node_Name_FullyQualified;Field;array;attributes
PHPParser_Node_Arg;Field;array;subNodes
PHPParser_Node_Arg;Field;NULL;attributes
PHPParser_Node_Arg;Field;array;attributes
PHPParser_Node_Arg;Parameter;PHPParser_Node_Expr_Variable;value
PHPParser_Node_Arg;Parameter;PHPParser_Node_Expr_New;value
PHPParser_Node_Arg;Parameter;PHPParser_Node_Expr_ConstFetch;value
PHPParser_Node_Arg;Parameter;boolean;byRef
PHPParser_Node_Arg;Parameter;array;attributes
PHPParser_Node_Expr_New;Field;array;subNodes
PHPParser_Node_Expr_New;Field;NULL;attributes
PHPParser_Node_Expr_New;Field;array;attributes
PHPParser_Node_Expr_New;Parameter;PHPParser_Node_Name_FullyQualified;class
PHPParser_Node_Expr_New;Parameter;array;args
PHPParser_Node_Expr_New;Parameter;array;attributes
PHPParser_Node_Expr_ConstFetch;Field;array;subNodes
PHPParser_Node_Expr_ConstFetch;Field;NULL;attributes
PHPParser_Node_Expr_ConstFetch;Field;array;attributes
PHPParser_Node_Expr_ConstFetch;Parameter;PHPParser_Node_Name;name
PHPParser_Node_Expr_ConstFetch;Parameter;array;attributes
PHPParser_Node_Expr_Assign;Field;array;subNodes
PHPParser_Node_Expr_Assign;Field;NULL;attributes
PHPParser_Node_Expr_Assign;Field;array;attributes
PHPParser_Node_Expr_Assign;Parameter;PHPParser_Node_Expr_Variable;var
PHPParser_Node_Expr_Assign;Parameter;PHPParser_Node_Expr_PropertyFetch;var
PHPParser_Node_Expr_Assign;Parameter;PHPParser_Node_Expr_New;expr
PHPParser_Node_Expr_Assign;Parameter;PHPParser_Node_Expr_MethodCall;expr
PHPParser_Node_Expr_Assign;Parameter;PHPParser_Node_Expr_StaticCall;expr
PHPParser_Node_Expr_Assign;Parameter;PHPParser_Node_Expr_Variable;expr
PHPParser_Node_Expr_Assign;Parameter;array;attributes
PHPParser_Node_Expr_MethodCall;Field;array;subNodes
PHPParser_Node_Expr_MethodCall;Field;NULL;attributes
PHPParser_Node_Expr_MethodCall;Field;array;attributes
PHPParser_Node_Expr_MethodCall;Parameter;PHPParser_Node_Expr_Variable;var
PHPParser_Node_Expr_MethodCall;Parameter;string;name
PHPParser_Node_Expr_MethodCall;Parameter;array;args
PHPParser_Node_Expr_MethodCall;Parameter;array;attributes
PHPParser_Node_Expr_StaticCall;Field;array;subNodes
PHPParser_Node_Expr_StaticCall;Field;NULL;attributes
PHPParser_Node_Expr_StaticCall;Field;array;attributes
PHPParser_Node_Expr_StaticCall;Parameter;PHPParser_Node_Name_FullyQualified;class
PHPParser_Node_Expr_StaticCall;Parameter;string;name
PHPParser_Node_Expr_StaticCall;Parameter;array;args
PHPParser_Node_Expr_StaticCall;Parameter;array;attributes
PHPParser_Node_Stmt_Return;Field;array;subNodes
PHPParser_Node_Stmt_Return;Field;NULL;attributes
PHPParser_Node_Stmt_Return;Field;array;attributes
PHPParser_Node_Stmt_Return;Parameter;PHPParser_Node_Expr_MethodCall;expr
PHPParser_Node_Stmt_Return;Parameter;PHPParser_Node_Expr_NotEqual;expr
PHPParser_Node_Stmt_Return;Parameter;PHPParser_Node_Expr_PropertyFetch;expr
PHPParser_Node_Stmt_Return;Parameter;array;attributes
PHPParser_Node_Stmt_Class;Field;array;specialNames
PHPParser_Node_Stmt_Class;Field;array;subNodes
PHPParser_Node_Stmt_Class;Field;NULL;attributes
PHPParser_Node_Stmt_Class;Field;array;attributes
PHPParser_Node_Stmt_Class;Parameter;string;name
PHPParser_Node_Stmt_Class;Parameter;array;subNodes
PHPParser_Node_Stmt_Class;Parameter;array;attributes
view\ClassDiagram;Parameter;string;className
view\ClassDiagram;Parameter;model\Folder;sourceFolder
PHPParser_Node_Stmt_PropertyProperty;Field;array;subNodes
PHPParser_Node_Stmt_PropertyProperty;Field;NULL;attributes
PHPParser_Node_Stmt_PropertyProperty;Field;array;attributes
PHPParser_Node_Stmt_PropertyProperty;Parameter;string;name
PHPParser_Node_Stmt_PropertyProperty;Parameter;NULL;default
PHPParser_Node_Stmt_PropertyProperty;Parameter;array;attributes
PHPParser_Node_Stmt_Property;Field;array;subNodes
PHPParser_Node_Stmt_Property;Field;NULL;attributes
PHPParser_Node_Stmt_Property;Field;array;attributes
PHPParser_Node_Stmt_Property;Parameter;integer;type
PHPParser_Node_Stmt_Property;Parameter;array;props
PHPParser_Node_Stmt_Property;Parameter;array;attributes
PHPParser_Node_Param;Field;array;subNodes
PHPParser_Node_Param;Field;NULL;attributes
PHPParser_Node_Param;Field;array;attributes
PHPParser_Node_Param;Parameter;string;name
PHPParser_Node_Param;Parameter;NULL;default
PHPParser_Node_Param;Parameter;PHPParser_Node_Name;type
PHPParser_Node_Param;Parameter;boolean;byRef
PHPParser_Node_Param;Parameter;array;attributes
PHPParser_Node_Expr_PropertyFetch;Field;array;subNodes
PHPParser_Node_Expr_PropertyFetch;Field;NULL;attributes
PHPParser_Node_Expr_PropertyFetch;Field;array;attributes
PHPParser_Node_Expr_PropertyFetch;Parameter;PHPParser_Node_Expr_Variable;var
PHPParser_Node_Expr_PropertyFetch;Parameter;string;name
PHPParser_Node_Expr_PropertyFetch;Parameter;array;attributes
PHPParser_Node_Expr_NotEqual;Field;array;subNodes
PHPParser_Node_Expr_NotEqual;Field;NULL;attributes
PHPParser_Node_Expr_NotEqual;Field;array;attributes
PHPParser_Node_Expr_NotEqual;Parameter;PHPParser_Node_Expr_PropertyFetch;left
PHPParser_Node_Expr_NotEqual;Parameter;PHPParser_Node_Scalar_String;right
PHPParser_Node_Expr_NotEqual;Parameter;array;attributes
